origin_iso3,dest_iso3,commodity,value_usd,period_year,period_quarter
CHN,USA,energy,5061030277,2024,2
CHN,USA,semis,45403302474,2024,1
CHN,USA,pharma,3804316307,2024,1
CHN,USA,food,5403208543,2024,1
CHN,USA,industrial_metals,12838401013,2024,2
CHN,USA,vehicles,10602729103,2024,4
CHN,USA,agriculture,3395893051,2024,4
CHN,USA,chemicals,12666016617,2024,1
CHN,USA,textiles,18828918545,2024,2
CHN,USA,other,57369509427,2024,3
CHN,HKG,energy,4422985388,2024,1
CHN,HKG,semis,40111826032,2024,2
CHN,HKG,pharma,4367646754,2024,1
CHN,HKG,food,3322984063,2024,2
CHN,HKG,industrial_metals,14441752094,2024,1
CHN,HKG,vehicles,14778260793,2024,3
CHN,HKG,agriculture,3004003427,2024,1
CHN,HKG,chemicals,10357214352,2024,1
CHN,HKG,textiles,14839465499,2024,1
CHN,HKG,other,41468834246,2024,2
CHN,JPN,energy,2859771600,2024,4
CHN,JPN,semis,25677399583,2024,3
CHN,JPN,pharma,3848106104,2024,2
CHN,JPN,food,4664989230,2024,1
CHN,JPN,industrial_metals,13638078220,2024,4
CHN,JPN,vehicles,11038413486,2024,3
CHN,JPN,agriculture,3605243699,2024,2
CHN,JPN,chemicals,7196972625,2024,3
CHN,JPN,textiles,18954357495,2024,3
CHN,JPN,other,44391286976,2024,1
CHN,KOR,energy,3744595065,2024,3
CHN,KOR,semis,35533234115,2024,1
CHN,KOR,pharma,4014915715,2024,4
CHN,KOR,food,4890331649,2024,2
CHN,KOR,industrial_metals,15597829613,2024,4
CHN,KOR,vehicles,13204571557,2024,2
CHN,KOR,agriculture,3767477997,2024,3
CHN,KOR,chemicals,11212563673,2024,2
CHN,KOR,textiles,20134286932,2024,2
CHN,KOR,other,52858516994,2024,4
CHN,VNM,energy,4044595521,2024,3
CHN,VNM,semis,40129960362,2024,1
CHN,VNM,pharma,4713508632,2024,3
CHN,VNM,food,3105973310,2024,2
CHN,VNM,industrial_metals,16224061392,2024,4
CHN,VNM,vehicles,14979354834,2024,1
CHN,VNM,agriculture,3370105801,2024,4
CHN,VNM,chemicals,9071270793,2024,3
CHN,VNM,textiles,22180438580,2024,4
CHN,VNM,other,47563646830,2024,1
CHN,IND,energy,3950574159,2024,1
CHN,IND,semis,31106119400,2024,3
CHN,IND,pharma,4033965979,2024,3
CHN,IND,food,3256899859,2024,3
CHN,IND,industrial_metals,9199840472,2024,4
CHN,IND,vehicles,9505760652,2024,2
CHN,IND,agriculture,3068361650,2024,2
CHN,IND,chemicals,7139665039,2024,1
CHN,IND,textiles,16117012884,2024,1
CHN,IND,other,24102111203,2024,2
CHN,DEU,energy,3098008176,2024,4
CHN,DEU,semis,30788724196,2024,4
CHN,DEU,pharma,3839666020,2024,2
CHN,DEU,food,3963039302,2024,1
CHN,DEU,industrial_metals,14143732411,2024,2
CHN,DEU,vehicles,13005430731,2024,1
CHN,DEU,agriculture,3349667269,2024,3
CHN,DEU,chemicals,10981139604,2024,3
CHN,DEU,textiles,20411299063,2024,2
CHN,DEU,other,31029259451,2024,3
CHN,NLD,energy,1632661902,2024,3
CHN,NLD,semis,19427720626,2024,3
CHN,NLD,pharma,2364261926,2024,1
CHN,NLD,food,2597612881,2024,1
CHN,NLD,industrial_metals,5935714820,2024,1
CHN,NLD,vehicles,8308089857,2024,1
CHN,NLD,agriculture,2135563807,2024,2
CHN,NLD,chemicals,5069448661,2024,1
CHN,NLD,textiles,12142329624,2024,4
CHN,NLD,other,17389467018,2024,2
CHN,GBR,energy,2707014117,2024,4
CHN,GBR,semis,19437354692,2024,2
CHN,GBR,pharma,2008755784,2024,1
CHN,GBR,food,1856332357,2024,1
CHN,GBR,industrial_metals,7179112318,2024,3
CHN,GBR,vehicles,5913979354,2024,2
CHN,GBR,agriculture,2184996527,2024,3
CHN,GBR,chemicals,5877276524,2024,3
CHN,GBR,textiles,9005484118,2024,3
CHN,GBR,other,21727224305,2024,4
CHN,RUS,energy,1807915672,2024,3
CHN,RUS,semis,23636275200,2024,4
CHN,RUS,pharma,2364644285,2024,1
CHN,RUS,food,2106337666,2024,2
CHN,RUS,industrial_metals,9017687340,2024,4
CHN,RUS,vehicles,7757139628,2024,1
CHN,RUS,agriculture,2040139088,2024,1
CHN,RUS,chemicals,4497193176,2024,4
CHN,RUS,textiles,10752316221,2024,4
CHN,RUS,other,21069188117,2024,3
CHN,SGP,energy,2734316223,2024,4
CHN,SGP,semis,16583071530,2024,4
CHN,SGP,pharma,2499835038,2024,1
